agentCount,defectorRatio,temptation,density,avgCompliance,defectorPercolationProb,geometricPercolationProb,avgLargestClusterFrac
30,0.70,1.50,0.3000,0.3167,0.0000,0.0000,0.2750
30,0.70,1.70,0.3000,0.3500,0.0000,0.0000,0.2417
30,0.70,2.00,0.3000,0.2667,0.0000,0.0000,0.3150
30,0.80,1.10,0.3000,0.1867,0.0000,0.0000,0.3833
30,0.80,1.30,0.3000,0.2050,0.0000,0.0000,0.3933
30,0.80,1.50,0.3000,0.2050,0.0000,0.0000,0.4533
30,0.80,1.70,0.3000,0.2183,0.0000,0.0500,0.3983
30,0.80,2.00,0.3000,0.2300,0.0000,0.0000,0.3283
30,0.90,1.10,0.3000,0.1200,0.0000,0.0000,0.4750
30,0.90,1.30,0.3000,0.1100,0.0000,0.0000,0.5117
30,0.90,1.50,0.3000,0.1083,0.0000,0.0000,0.4667
30,0.90,1.70,0.3000,0.0950,0.0000,0.0000,0.4733
30,0.90,2.00,0.3000,0.0850,0.0000,0.0000,0.4967
40,0.10,1.10,0.4000,0.9125,0.0000,0.0500,0.0325
40,0.10,1.30,0.4000,0.9025,0.0000,0.1000,0.0375
40,0.10,1.50,0.4000,0.9062,0.0000,0.0000,0.0325
40,0.10,1.70,0.4000,0.8962,0.0000,0.0500,0.0413
40,0.10,2.00,0.4000,0.8963,0.0000,0.1000,0.0425
40,0.20,1.10,0.4000,0.8025,0.0000,0.0500,0.0663
40,0.20,1.30,0.4000,0.7938,0.0000,0.0500,0.0813
40,0.20,1.50,0.4000,0.7888,0.0000,0.0000,0.0813
40,0.20,1.70,0.4000,0.8100,0.0000,0.0000,0.0663
40,0.20,2.00,0.4000,0.8100,0.0000,0.0000,0.0663
40,0.30,1.10,0.4000,0.7062,0.0000,0.0500,0.1050
40,0.30,1.30,0.4000,0.6925,0.0000,0.1500,0.1113
40,0.30,1.50,0.4000,0.7063,0.0000,0.0500,0.1088
40,0.30,1.70,0.4000,0.7038,0.0000,0.1000,0.1050
40,0.30,2.00,0.4000,0.7213,0.0000,0.1000,0.0963
40,0.40,1.10,0.4000,0.6000,0.0000,0.0000,0.1525
40,0.40,1.30,0.4000,0.5825,0.0000,0.1000,0.1738
40,0.40,1.50,0.4000,0.6150,0.0000,0.1000,0.1688
40,0.40,1.70,0.4000,0.5838,0.0000,0.0500,0.1725
40,0.40,2.00,0.4000,0.6063,0.0000,0.1000,0.1413
40,0.50,1.10,0.4000,0.5037,0.0000,0.0500,0.2075
40,0.50,1.30,0.4000,0.5125,0.0000,0.1000,0.1900
40,0.50,1.50,0.4000,0.5325,0.0000,0.0500,0.2113
40,0.50,1.70,0.4000,0.5038,0.0000,0.1000,0.2075
40,0.50,2.00,0.4000,0.5025,0.0000,0.1000,0.2150
40,0.60,1.10,0.4000,0.3863,0.0000,0.1500,0.2650
40,0.60,1.30,0.4000,0.4050,0.0000,0.1000,0.3163
40,0.60,1.50,0.4000,0.4100,0.0000,0.2000,0.3087
40,0.60,1.70,0.4000,0.4200,0.0000,0.0000,0.2625
40,0.60,2.00,0.4000,0.4037,0.0000,0.0000,0.2788
40,0.70,1.10,0.4000,0.3038,0.0000,0.0500,0.3450
40,0.70,1.30,0.4000,0.2975,0.0000,0.0500,0.3613
40,0.70,1.50,0.4000,0.3000,0.0000,0.1000,0.3762
40,0.70,1.70,0.4000,0.3063,0.0000,0.0000,0.3963
